📦 Common Sorting Algorithms + Time Complexities
Algorithm	   |  Best Case	              |  Average Case |  Worst Case	        | Space Complexity | Stable?
-------------------------------------------------------------------------------------------------------------
Bubble Sort	   |   O(n)	                  |    O(n²)	  |       O(n²)	        |  O(1)	           |  ✅    
Selection Sort |   O(n²)	              |    O(n²)	  |       O(n²)	        |  O(1)	           |  ❌    
Insertion Sort |   O(n)	                  |    O(n²)	  |       O(n²)	        |  O(1)	           |  ✅    
Merge Sort	   |   O(n log n)	          |    O(n log n) |  	  O(n log n)	|  O(n)	           |  ✅    
Quick Sort	   |   O(n log n)	          |    O(n log n) |  	  O(n²)	O(log n)|  (avg)	       |  ❌    
Heap Sort	   |   O(n log n)	          |    O(n log n) |  	  O(n log n)	|  O(1)	           |  ❌    
Counting Sort  |   O(n + k)	              |    O(n + k)	  |       O(n + k)	    |  O(k)	           |  ✅    
Radix Sort	   |   O(nk)	              |    O(nk)	  |       O(nk)	        |  O(n + k)        |  ✅    
Bucket Sort	   |   O(n + k)	              |    O(n + k)	  |       O(n²)	        |  O(n)	           |  ✅    
Tim Sort	   |   O(n)	                  |    O(n log n) | 	  O(n log n)	|  O(n)	           |  ✅    
